adm2_name,road_km,area_km2,road_density_km_per_km2
Nicoadala,106.00908352320683,2489.515078119849,0.0425822219173976
Pebane,207.3236607789866,10208.492613559994,0.020308939686511356
Derre,19.538751704205193,4760.294057953745,0.0041045262049639215
Luabo,0.0,1135.3844358810147,0.0
Mocubela,52.261034659207425,3799.791645694964,0.013753657971856804
Molumbo,0.0,4331.41575161441,0.0
Mulevala,0.0,2714.35009701053,0.0
Cidade de Tete,39.81709342407138,287.0685050467023,0.13870240978749537
Angónia,43.33344716044891,3250.09328800542,0.013332985647018956
Cahora Bassa,48.461463562255645,5417.25429004485,0.008945761259779155
Changara,156.40336624738782,9548.34715416483,0.016380150797006502
Chifunde,256.26914328907066,9792.783062375775,0.02616918414885202
Chiúta,212.59327933882776,7117.623530499377,0.02986857599701007
Macanga,153.4864908185031,6782.313043307207,0.022630404972233436
Mágoe,0.0,8554.494284652603,0.0
Marávia,184.91892266683706,16694.38501529414,0.011076713667345531
Moatize,295.3117328567664,8423.216635535113,0.035059258907212676
Mutarara,168.13001010733257,2738.1948131282343,0.06140177072180392
Tsangano,101.99691437414316,3648.40293980368,0.027956592530218604
Zumbo,212.64092527502493,11990.11302435936,0.017734688976077145
Doa,100.41661781639361,3630.276178790324,0.027660875611357563
Marara,70.73637844245108,2714.5624260499067,0.02605811447312452
Cidade de Chimoio,67.84221474709516,204.3973256772378,0.3319134167842502
Báruè,175.42677659185097,5767.777049782627,0.03041497184750967
Gondola,187.57897334463294,2683.9257672427034,0.06988977699533762
Guro,74.71320509170374,6933.277010216344,0.010776030581442528
Machaze,0.0,13132.622971015866,0.0
Macossa,165.26178258310588,9552.357394697117,0.01730062808106919
Manica,64.895228127312,2535.6714175438724,0.025592916999542262
Mossurize,68.87551422290313,5017.010916285681,0.013728396324458226
Sussundenga,137.11354136556736,6994.381059260202,0.019603384517352832
Tambara,0.0,4281.657573234475,0.0
Macate,33.527304009739076,1587.7180980878993,0.021116660476514223
Vanduzi,121.9677804981252,3324.186029637774,0.03669102132392261
Cidade da Beira,48.56070364632675,648.3410812651551,0.07489993315180139
Búzi,100.47712673509804,7230.242017915862,0.01389678609459063
Caia,127.61567979850031,3359.348614020926,0.03798822166472103
Chemba,41.288377884376814,4212.586037896985,0.009801195159681267
Cheringoma,183.96373864349948,7120.270221939677,0.025836623177116554
Chibabava,190.842062380039,7248.8279395381305,0.02632729925055978
Dondo,133.2004299699006,2301.2916984238955,0.05788072414336986
Gorongosa,133.5758078050095,7506.77357978089,0.017794037129984723
Machanga,51.07038479290277,5743.779878793271,0.00889142444010795
Maringue,152.50659335192077,5410.343467098086,0.028187968893168963
Marromeu,105.76821349110877,5786.744807638033,0.018277670263168216
Muanza,167.67389180219254,7517.635199870712,0.022304073999903078
Nhamatanda,136.69418544937224,4018.9555665488756,0.03401236544815875
Cidade de Inhambane,33.86066961607079,202.3605850394049,0.1673283836843881
Funhalouro,0.0,13612.035902456579,0.0
Govuro,90.53705732390071,3972.6937287194937,0.022789840724289422
Homoine,0.0,1915.0852668282776,0.0
Inharrime,35.49543458243681,2743.930635578114,0.0129359810055688
Inhassoro,94.6609629310493,4748.65259835488,0.019934278402223733
Jangamo,70.69444225298662,1293.5909163373085,0.05464976706326283
Mabote,206.12042660068857,15321.67083764056,0.013452868736372737
Massinga,91.21409286085911,7421.910646538842,0.012289839800671299
Cidade da Maxixe,49.60368129694234,272.430151947767,0.18207852890840381
Morrumbene,41.062966089580385,2578.8114825258854,0.015923213607440655
Panda,0.0,6837.873878489539,0.0
Vilankulo,209.50738918895814,5864.488446515821,0.035724750947958565
Zavala,93.14804876595817,2008.973390868624,0.04636599428809933
Xai-Xai,18.877600751794095,312.9065801806839,0.06032982988370991
Bilene,94.02665692676295,1929.4384543460824,0.04873265416420349
Chibuto,87.13308288426614,6063.932917749815,0.014369071041207892
Chicualacuala,211.6931330274012,8281.983514968693,0.025560680318282597
Chigubo,74.58554469429623,10116.75891593709,0.007372474259201774
Chókwè,116.25058401115264,2493.6149318421344,0.04661930056910336
Guijá,105.25058999133695,3730.0187757424865,0.028217174314460677
Mabalane,169.6124553254032,8930.609440273422,0.018992259874283598
Mandlakazi,115.5773951582926,3205.489807410283,0.03605607944567687
Massangena,0.0,4110.829513070464,0.0
Massingir,0.0,5686.343831995658,0.0
Limpopo,64.44361060120397,1196.0401922398294,0.05388080686529452
Chongoene,87.84025004990505,1231.725513646593,0.07131479300923874
Mapai,367.28850211545847,18100.761055716674,0.02029132924217347
Cidade da Matola,49.829347494043176,370.22408603923526,0.13459239788294705
Boane,65.79319598409286,804.2981096290881,0.0818020025117729
Magude,15.240297404819463,6910.445269726832,0.002205400203599602
Manhiça,104.12985934101242,2363.2000548038723,0.044063074190159666
Marracuene,47.01840842091166,699.2954101023984,0.06723683259128888
Matutuine,104.73635750414911,5342.956883599049,0.019602695620781062
Moamba,69.99366129606129,4580.7923907437025,0.015279815220942081
Namaacha,93.85761057292555,2148.24414999247,0.04369038341068195
KaMpfumo,0.0,13.467791034570089,0.0
Nhlamankulo,4.829400688023511,8.051017306306983,0.5998497462227871
KaMaxaqueni,0.0,12.658705737416586,0.0
KaMavota,1.6177774391558133,83.65024557926137,0.019339781108268426
KaMubukwana,24.691515102481382,58.02097356993697,0.4255618888007605
KaTembe,0.0,122.7504506089506,0.0
KaNyaka,0.0,47.78384952971388,0.0
